ORF	gene_systematic_id_with_prefix	gene_name	chromosome_id	gene_product	uniprot_id	gene_type	synonyms	length.CDS	length.UTR5	length.UTR3	length.UTR5.Est	length.UTR3.Est	LengthTxEst
SPBC543.08	PomBase:SPBC543.08	fit1	chromosome_2	ER membrane CoA pyrophosphatase (FIT) family lipid storage protein Fit1	Q9HGM4	protein coding gene	NA	753	71	419	71	419	1243
SPBC543.09	PomBase:SPBC543.09	yta12	chromosome_2	mitochondrial m-AAA protease Yta12	Q9HGM3	protein coding gene	m-AAA,ppp76	2322	480	260	480	260	3062
SPBC543.10	PomBase:SPBC543.10	get1	chromosome_2	GET complex (ER membrane insertion) subunit Get1	Q9HGM2	protein coding gene	NA	516	38	839	38	839	1393
SPBC557.02c	PomBase:SPBC557.02c	NA	chromosome_2	DUF2458 conserved fungal protein	Q9USS4	protein coding gene	NA	612	115	80	115	80	807
SPBC557.03c	PomBase:SPBC557.03c	pim1	chromosome_2	RCC1 family Ran GEF	P28745	protein coding gene	dcd1,ptr2	1620	77	15	77	15	1712
SPBC557.04	PomBase:SPBC557.04	ppk29	chromosome_2	Ark1/Prk1 family protein kinase Ppk29	Q9USS2	protein coding gene	NA	2619	164	441	164	441	3224
SPBC557.05	PomBase:SPBC557.05	NA	chromosome_2	arrestin, implicated in vesicle-mediated transport, meiosis specific	Q9USS1	protein coding gene	NA	1302	NA	988	97	988	2387
SPBC56F2.01	PomBase:SPBC56F2.01	pof12	chromosome_2	F-box protein Pof12	O60053	protein coding gene	NA	1323	106	188	106	188	1617
SPBC56F2.02	PomBase:SPBC56F2.02	rpl1901	chromosome_2	60S ribosomal protein L19	P05734	protein coding gene	rpl19-1	582	27	83	27	83	692
SPBC56F2.03	PomBase:SPBC56F2.03	arp10	chromosome_2	dynactin complex actin-like protein Arp10	O60054	protein coding gene	NA	1143	NA	42	97	42	1282
SPBC56F2.04	PomBase:SPBC56F2.04	utp20	chromosome_2	U3 snoRNP-associated protein Utp20	O60055	protein coding gene	NA	7482	55	55	55	55	7592
SPBC56F2.05c	PomBase:SPBC56F2.05c	NA	chromosome_2	DNA-binding transcription factor	O60056	protein coding gene	NA	1194	1532	209	1532	209	2935
SPBC56F2.06	PomBase:SPBC56F2.06	mug147	chromosome_2	Schizosaccharomyces specific protein Mug147	O60057	protein coding gene	NA	1236	539	NA	539	261	2036
SPBC56F2.07c	PomBase:SPBC56F2.07c	NA	chromosome_2	ribosome biogenesis factor recycling AAA family ATPase	O60058	protein coding gene	NA	2430	43	214	43	214	2687
SPBC56F2.08c	PomBase:SPBC56F2.08c	puf1	chromosome_2	pumilio family RNA-binding protein Puf1	O60059	protein coding gene	NA	1986	15	1144	15	1144	3145
SPBC56F2.09c	PomBase:SPBC56F2.09c	arg5	chromosome_2	arginine specific carbamoyl-phosphate synthase subunit Arg5	O60060	protein coding gene	NA	1248	378	397	378	397	2023
SPBC56F2.10c	PomBase:SPBC56F2.10c	alg5	chromosome_2	dolichyl-phosphate beta-glucosyltransferase Alg5	O60061	protein coding gene	NA	969	171	301	171	301	1441
SPBC56F2.11	PomBase:SPBC56F2.11	met6	chromosome_2	homoserine O-acetyltransferase Met6	O60062	protein coding gene	NA	1506	422	593	422	593	2521
SPBC56F2.12	PomBase:SPBC56F2.12	ilv5	chromosome_2	acetohydroxyacid reductoisomerase	P78827	protein coding gene	NA	1215	39	206	39	206	1460
SPBC56F2.14	PomBase:SPBC56F2.14	mrpl44	chromosome_2	mitochondrial ribosomal protein subunit L53	P62506	protein coding gene	NA	303	NA	NA	97	261	661
SPBC56F2.15	PomBase:SPBC56F2.15	tam13	chromosome_2	Schizosaccharomyces specific protein Tam13	G2TRQ0	protein coding gene	NA	288	73	NA	73	261	622
SPBC577.02	PomBase:SPBC577.02	rpl3801	chromosome_2	60S ribosomal protein L38	Q9USR7	protein coding gene	rpl38-1	225	15	116	15	116	356
SPBC577.03c	PomBase:SPBC577.03c	NA	chromosome_2	N-acetyltransferase	Q9USR6	protein coding gene	NA	651	285	1149	285	1149	2085
SPBC577.04	PomBase:SPBC577.04	tho5	chromosome_2	THO complex subunit Tho5	Q9USR5	protein coding gene	NA	603	83	682	83	682	1368
SPBC577.05c	PomBase:SPBC577.05c	rec27	chromosome_2	meiotic recombination protein Rec27	Q9USR4	protein coding gene	mug41	378	NA	167	97	167	642
SPBC577.06c	PomBase:SPBC577.06c	stt4	chromosome_2	1-phosphatidylinositol 4-kinase Stt4	Q9USR3	protein coding gene	NA	5634	283	87	283	87	6004
SPBC577.07	PomBase:SPBC577.07	ubp10	chromosome_2	ubiquitin C-terminal hydrolase Ubp10	Q9USR2	protein coding gene	NA	1509	84	142	84	142	1735
SPBC577.08c	PomBase:SPBC577.08c	txl1	chromosome_2	thioredoxin-like I protein Txl1	Q9USR1	protein coding gene	trx3	873	12	202	12	202	1087
SPBC577.09	PomBase:SPBC577.09	ckn1	chromosome_2	ERCC8 DNA repair homolog	Q9USR0	protein coding gene	NA	1215	NA	274	97	274	1586
SPBC577.10	PomBase:SPBC577.10	pre4	chromosome_2	20S proteasome complex subunit beta 7, Pre4	Q9USQ9	protein coding gene	mts9	789	29	467	29	467	1285
SPBC577.11	PomBase:SPBC577.11	NA	chromosome_2	DUF3074 family protein, implicated in vesicle trafficking or lipid metabolism	Q9USQ8	protein coding gene	NA	720	24	995	24	995	1739
SPBC577.12	PomBase:SPBC577.12	dph6	chromosome_2	diphthamide synthetase Dph6	Q9USQ7	protein coding gene	mug71	1821	113	94	113	94	2028
SPBC577.13	PomBase:SPBC577.13	syj2	chromosome_2	inositol-polyphosphate 5-phosphatase, synaptojanin homolog 2	Q9USQ6	protein coding gene	NA	2670	52	139	52	139	2861
SPBC577.14c	PomBase:SPBC577.14c	spa1	chromosome_2	ornithine decarboxylase antizyme with +1 programmed ribosomal frameshift Spa1	Q9USQ5	protein coding gene	spa	681	102	439	102	439	1222
SPBC577.15c	PomBase:SPBC577.15c	sim3	chromosome_2	CENP-A chaperone, NASP family, Sim3	Q9USQ4	protein coding gene	NA	1191	221	473	221	473	1885
SPBC582.03	PomBase:SPBC582.03	cdc13	chromosome_2	G2/M B-type cyclin Cdc13	P10815	protein coding gene	NA	1449	659	705	659	705	2813
SPBC582.04c	PomBase:SPBC582.04c	dsh1	chromosome_2	RNAi protein, Dsh1	Q10338	protein coding gene	NA	1752	NA	NA	97	261	2110
SPBC582.05c	PomBase:SPBC582.05c	brc1	chromosome_2	BRCT domain protein Brc1	Q10337	protein coding gene	NA	2550	23	NA	23	261	2834
SPBC582.06c	PomBase:SPBC582.06c	mcp6	chromosome_2	horsetail movement protein Hrs1/Mcp6	Q10336	protein coding gene	hrs1,mug3	984	NA	NA	97	261	1342
SPBC582.07c	PomBase:SPBC582.07c	rpn7	chromosome_2	19S proteasome regulatory subunit Rpn7	Q10335	protein coding gene	NA	1194	21	158	21	158	1373
SPBC582.08	PomBase:SPBC582.08	alt1	chromosome_2	alanine aminotransferase Alt1	Q10334	protein coding gene	NA	1473	17	216	17	216	1706
SPBC582.09	PomBase:SPBC582.09	pex11	chromosome_2	peroxisomal biogenesis factor 11	Q10333	protein coding gene	NA	717	91	200	91	200	1008
SPBC582.10c	PomBase:SPBC582.10c	rhp1602	chromosome_2	DNA translocase Rhp16b	Q10332	protein coding gene	NA	2493	31	143	31	143	2667
SPBC609.01	PomBase:SPBC609.01	NA	chromosome_2	cytoplasmic P body 3'-5'-exoribonuclease, Dis3L2-related	O94525	protein coding gene	NA	3474	1468	404	1468	404	5346
SPBC609.02	PomBase:SPBC609.02	ptn1	chromosome_2	phosphatidylinositol-3,4,5-trisphosphate3-phosphatase Ptn1	O94526	protein coding gene	NA	1047	94	72	94	72	1213
SPBC609.03	PomBase:SPBC609.03	iqw1	chromosome_2	WD repeat protein, Iqw1	O94527	protein coding gene	iqwd1	2430	32	118	32	118	2580
SPBC609.04	PomBase:SPBC609.04	caf5	chromosome_2	plasma membrane spermine family transmembrane transporter Caf5	O94528	protein coding gene	NA	1596	99	210	99	210	1905
SPBC609.05	PomBase:SPBC609.05	pob3	chromosome_2	histone H2A-H2B chaperone, FACT complex subunit Pob3	O94529	protein coding gene	NA	1539	34	339	34	339	1912
SPBC646.02	PomBase:SPBC646.02	cwf11	chromosome_2	U2-type spliceosomal complex ATPase Cwf11	O94508	protein coding gene	NA	3855	53	62	53	62	3970
SPBC646.03	PomBase:SPBC646.03	gta1	chromosome_2	mitochondrial glutamyl-tRNA amidotransferase alpha subunit Gta1	O94509	protein coding gene	her2	1416	66	439	66	439	1921
SPBC646.04	PomBase:SPBC646.04	pla1	chromosome_2	mRNA cleavage and polyadenylation specificity factor poly(A) polymerase Pla1	Q10295	protein coding gene	NA	1701	104	234	104	234	2039
SPBC646.05c	PomBase:SPBC646.05c	erg9	chromosome_2	farnesyldiphosphate:farnesyldiphosphatefarnesyltransferase (squalene synthase) Erg9	P36596	protein coding gene	NA	1383	30	58	30	58	1471
SPBC646.06c	PomBase:SPBC646.06c	agn2	chromosome_2	glucan endo-1,3-alpha-glucosidase Agn2	O94510	protein coding gene	NA	1302	21	127	21	127	1450
SPBC646.07c	PomBase:SPBC646.07c	tsc13	chromosome_2	enoyl-[acyl-carrier-protein] reductase	O94511	protein coding gene	NA	888	38	344	38	344	1270
SPBC646.08c	PomBase:SPBC646.08c	oss1	chromosome_2	sterol transfer protein Oss1	O94512	protein coding gene	NA	1551	90	528	90	528	2169
SPBC646.09c	PomBase:SPBC646.09c	int6	chromosome_2	translation initiation factor eIF3e	O94513	protein coding gene	yin6,tif305	1506	47	79	47	79	1632
SPBC646.10c	PomBase:SPBC646.10c	nop56	chromosome_2	U3 snoRNP-associated protein Nop56	O94514	protein coding gene	NA	1494	55	122	55	122	1671
SPBC646.11	PomBase:SPBC646.11	cct6	chromosome_2	chaperonin-containing T-complex zeta subunit Cct6	O94515	protein coding gene	NA	1608	35	149	35	149	1792
SPBC646.12c	PomBase:SPBC646.12c	gap1	chromosome_2	RasGAP Gap1	P33277	protein coding gene	src1,sar1	2301	785	2374	785	2374	5460
SPBC646.13	PomBase:SPBC646.13	sds23	chromosome_2	serine/threonine protein phosphatase PP2A inhibitor Sds23/Moc1	Q09826	protein coding gene	psp1,moc1	1227	48	185	48	185	1460
SPBC646.14c	PomBase:SPBC646.14c	orc5	chromosome_2	origin recognition complex subunit Orc5	O43114	protein coding gene	NA	1368	41	482	41	482	1891
SPBC646.15c	PomBase:SPBC646.15c	pex16	chromosome_2	Pex16 family peroxisome import protein Pex16	O94516	protein coding gene	NA	1095	324	628	324	628	2047
SPBC646.16	PomBase:SPBC646.16	scl1	chromosome_2	20S proteasome complex subunit alpha 1	O94517	protein coding gene	NA	735	24	245	24	245	1004
SPBC646.17c	PomBase:SPBC646.17c	dic1	chromosome_2	meiotic dynein intermediate chain Dic1	O94518	protein coding gene	SPBC855.01c,SPBP35G2.01c,mug44	1635	NA	NA	97	261	1993
SPBC649.02	PomBase:SPBC649.02	rps1902	chromosome_2	40S ribosomal protein S19	P79016	protein coding gene	rps19-2,rps19	432	41	54	41	54	527
SPBC649.03	PomBase:SPBC649.03	rhp14	chromosome_2	XP-A family homolog Rhp14	O59753	protein coding gene	rad14	870	274	215	274	215	1359
SPBC649.04	PomBase:SPBC649.04	uvi15	chromosome_2	tail anchored plasma membrane protein Uvi15	P40388	protein coding gene	NA	264	NA	157	97	157	518
SPBC649.05	PomBase:SPBC649.05	cut12	chromosome_2	spindle pole body cell cycle signalling scaffold Cut12	O59755	protein coding gene	stf1	1647	127	197	127	197	1971
SPBC651.01c	PomBase:SPBC651.01c	nog1	chromosome_2	ribosome export GTP binding protein Nog1	O94659	protein coding gene	SPBC725.18c	1929	32	213	32	213	2174
SPBC651.02	PomBase:SPBC651.02	nit1	chromosome_2	bis(5'-adenosyl)-triphosphatase Nit1	O94660	protein coding gene	NA	831	56	230	56	230	1117
SPBC651.03c	PomBase:SPBC651.03c	gyp10	chromosome_2	RabGAP Gyp10	O94661	protein coding gene	NA	1122	226	393	226	393	1741
SPBC651.04	PomBase:SPBC651.04	NA	chromosome_2	Schizosaccharomyces specific protein	O94662	protein coding gene	NA	714	77	1594	77	1594	2385
SPBC651.05c	PomBase:SPBC651.05c	dot2	chromosome_2	ESCRT II complex subunit Dot2	O94663	protein coding gene	vps22	759	159	182	159	182	1100
SPBC651.06	PomBase:SPBC651.06	mug166	chromosome_2	Schizosaccharomyces specific protein Mug166	O94664	protein coding gene	csa1	705	86	NA	86	261	1052
SPBC651.07	PomBase:SPBC651.07	NA	chromosome_2	Schizosaccharomyces specific protein	W6JQK2	protein coding gene	NA	807	54	379	54	379	1240
SPBC651.08c	PomBase:SPBC651.08c	rpc1	chromosome_2	DNA-directed RNA polymerase III complex large subunit Rpc1	O94666	protein coding gene	NA	4218	96	252	96	252	4566
SPBC651.09c	PomBase:SPBC651.09c	prf1	chromosome_2	RNA polymerase II associated Paf1 complex	O94667	protein coding gene	rtf1	1683	13	215	13	215	1911
SPBC651.10	PomBase:SPBC651.10	nse5	chromosome_2	Smc5-6 complex non-SMC subunit Nse5	O94668	protein coding gene	NA	1167	NA	123	97	123	1387
SPBC651.11c	PomBase:SPBC651.11c	apm3	chromosome_2	AP-3 adaptor complex subunit Apm3	O94669	protein coding gene	NA	1278	33	82	33	82	1393
SPBC651.12c	PomBase:SPBC651.12c	dbl7	chromosome_2	Schizosaccharomyces specific protein, double strand break localizing Dbl7	O94670	protein coding gene	NA	822	131	105	131	105	1058
SPBC660.05	PomBase:SPBC660.05	wwm3	chromosome_2	WW domain containing conserved fungal protein Wwm3	O94425	protein coding gene	wwm1	432	255	656	255	656	1343
SPBC660.06	PomBase:SPBC660.06	wwm2	chromosome_2	WW domain containing conserved fungal protein Wwm2	O94426	protein coding gene	NA	822	190	251	190	251	1263
SPBC660.07	PomBase:SPBC660.07	ntp1	chromosome_2	alpha,alpha-trehalase Ntp1	O42893	protein coding gene	NA	2208	497	356	497	356	3061
SPBC660.08	PomBase:SPBC660.08	atg38	chromosome_2	PtdIns3K complex subunit Atg38	O94427	protein coding gene	NA	1275	43	NA	43	261	1579
SPBC660.09	PomBase:SPBC660.09	mug168	chromosome_2	Schizosaccharomyces specific protein Mug168	O94428	protein coding gene	NA	348	NA	233	97	233	678
SPBC660.10	PomBase:SPBC660.10	mef2	chromosome_2	mitochondrial translation elongation factor G Mef2	O94429	protein coding gene	NA	2442	22	NA	22	261	2725
SPBC660.11	PomBase:SPBC660.11	tcg1	chromosome_2	single-stranded telomeric binding protein Tgc1	Q9HEQ9	protein coding gene	mug187	1050	45	405	45	405	1500
SPBC660.12c	PomBase:SPBC660.12c	egt2	chromosome_2	ergothioneine biosynthesis methyltransferase Egt2	O94431	protein coding gene	NA	1179	170	1479	170	1479	2828
SPBC660.13c	PomBase:SPBC660.13c	ssb1	chromosome_2	DNA replication factor A subunit Ssb1	Q92372	protein coding gene	rpa1,rad11,rpa70	1830	38	180	38	180	2048
SPBC660.14	PomBase:SPBC660.14	mik1	chromosome_2	M phase inhibitor protein kinase Mik1	P30290	protein coding gene	NA	1746	401	605	401	605	2752
SPBC660.15	PomBase:SPBC660.15	msi2	chromosome_2	mRNA cleavage factor complex subunit Msi2	O94432	protein coding gene	NA	1425	35	2450	35	2450	3910
SPBC660.16	PomBase:SPBC660.16	gnd1	chromosome_2	phosphogluconate dehydrogenase, decarboxylating	P78812	protein coding gene	NA	1479	46	157	46	157	1682
SPBC660.17c	PomBase:SPBC660.17c	NA	chromosome_2	ER membrane protein	O94433	protein coding gene	NA	519	82	367	82	367	968
SPBC685.02	PomBase:SPBC685.02	exo5	chromosome_2	mitochondrial single stranded DNA specific 5'-3' exodeoxyribonuclease Exo5	Q9Y7L4	protein coding gene	NA	1230	31	NA	31	261	1522
SPBC685.03	PomBase:SPBC685.03	NA	chromosome_2	Schizosaccharomyces specific protein	Q9Y7L5	protein coding gene	NA	1359	NA	8	97	8	1464
SPBC685.04c	PomBase:SPBC685.04c	aps2	chromosome_2	AP-2 adaptor complex sigma subunit Aps2	Q9Y7L6	protein coding gene	NA	432	236	321	236	321	989
SPBC685.05	PomBase:SPBC685.05	gpi15	chromosome_2	pig-H	Q9Y7L7	protein coding gene	NA	483	62	128	62	128	673
SPBC685.06	PomBase:SPBC685.06	rps001	chromosome_2	40S ribosomal protein S0A (p40)	Q9Y7L8	protein coding gene	rps0-1,rpsa-1,rps0	879	18	86	18	86	983
SPBC685.07c	PomBase:SPBC685.07c	rpl2701	chromosome_2	60S ribosomal protein L27	O14388	protein coding gene	rpl27-1	411	11	146	11	146	568
SPBC685.08	PomBase:SPBC685.08	NA	chromosome_2	Schizosaccharomyces specific protein	Q9Y7L9	protein coding gene	NA	294	69	233	69	233	596
SPBC685.09	PomBase:SPBC685.09	orc2	chromosome_2	origin recognition complex subunit Orc2	Q09142	protein coding gene	orp2	1500	30	111	30	111	1641
SPBC691.01	PomBase:SPBC691.01	pfa5	chromosome_2	vacuolar membrane palmitoyltransferase Pfa5	Q9C0W9	protein coding gene	NA	939	196	117	196	117	1252
SPBC691.02c	PomBase:SPBC691.02c	drp1	chromosome_2	RINT1 family protein	Q9C0W8	protein coding gene	NA	2037	75	1348	75	1348	3460
SPBC691.03c	PomBase:SPBC691.03c	apl3	chromosome_2	AP-2 adaptor complex alpha subunit Alp3	Q9C0W7	protein coding gene	NA	2637	141	442	141	442	3220
SPBC691.04	PomBase:SPBC691.04	mss116	chromosome_2	mitochondrial ATP-dependent RNA helicase Mss116	O13622	protein coding gene	NA	1608	120	283	120	283	2011
SPBC691.05c	PomBase:SPBC691.05c	ist2	chromosome_2	anoctamin calcium-activated chloride channel OR Ca(2+)-activated phospholipid scramblase involved in ER-plasma membrane tethering Ist2	O13621	protein coding gene	SPBP22H7.01c	2007	16	236	16	236	2259
SPBC6B1.02	PomBase:SPBC6B1.02	ppk30	chromosome_2	Ark1/Prk1 family protein kinase Ppk30	O43066	protein coding gene	NA	2862	295	423	295	423	3580
SPBC6B1.03c	PomBase:SPBC6B1.03c	pal2	chromosome_2	pal1 family early clathrin mediated endocytosis factor, meiosis specific Pal2	O43067	protein coding gene	NA	819	NA	208	97	208	1124
SPBC6B1.04	PomBase:SPBC6B1.04	mde4	chromosome_2	microtubule-site clamp monopolin complex subunit Mde4	O43068	protein coding gene	NA	1266	208	1681	208	1681	3155
SPBC6B1.05c	PomBase:SPBC6B1.05c	atg7	chromosome_2	E1 Atg8 and Atg12 E1 activating enzyme Atg7	O43069	protein coding gene	NA	1950	14	162	14	162	2126
SPBC6B1.06c	PomBase:SPBC6B1.06c	ubp14	chromosome_2	Lys48-specific deubiquitinase Ubp14	Q11119	protein coding gene	NA	2328	20	284	20	284	2632
SPBC6B1.07	PomBase:SPBC6B1.07	prp1	chromosome_2	U4/U6 x U5 tri-snRNP complex subunit Prp1	Q12381	protein coding gene	zer1	2721	69	187	69	187	2977
SPBC6B1.08c	PomBase:SPBC6B1.08c	ofd1	chromosome_2	hypoxic oxygen sensor, prolyl-3,4-dihydroxylase Ofd1	Q11120	protein coding gene	uS12	1548	44	320	44	320	1912
SPBC6B1.09c	PomBase:SPBC6B1.09c	nbs1	chromosome_2	Mre11 complex BRCT domain subunit Nbs1	O43070	protein coding gene	slr10,slr8	1842	63	168	63	168	2073
SPBC6B1.10	PomBase:SPBC6B1.10	prp17	chromosome_2	Prp19 complex WD repeat protein Prp17	O43071	protein coding gene	NA	1677	52	5911	52	5911	7640
SPBC6B1.12c	PomBase:SPBC6B1.12c	sus1	chromosome_2	SAGA complex deubiquitinating submodule subunit, TREX complex subunit Sus1	Q7LL15	protein coding gene	NA	327	NA	401	97	401	825
SPBC713.02c	PomBase:SPBC713.02c	ubp15	chromosome_2	ubiquitin C-terminal hydrolase Ubp15	Q9UTT1	protein coding gene	ubpD,ubp21	3390	171	269	171	269	3830
SPBC713.03	PomBase:SPBC713.03	dld2	chromosome_2	mitochondrial D-lactate dehydrogenase, cytochrome Dld2	Q9C1X2	protein coding gene	NA	1581	344	235	344	235	2160
SPBC713.04c	PomBase:SPBC713.04c	pwp2	chromosome_2	U3 snoRNP-associated protein Utp1	Q9C1X1	protein coding gene	NA	2565	141	93	141	93	2799
SPBC713.05	PomBase:SPBC713.05	wdr83	chromosome_2	Gpl1-Gih35-Wdr83 complex WD repeat subunit Wdr83	Q9C1X0	protein coding gene	NA	894	111	97	111	97	1102
SPBC713.06	PomBase:SPBC713.06	adl1	chromosome_2	DNA ligase	Q9C1W9	protein coding gene	lig3	2325	NA	2491	97	2491	4913
SPBC713.07c	PomBase:SPBC713.07c	NA	chromosome_2	vacuolar polyphosphatase	Q9C1W8	protein coding gene	ppn1	1734	436	1522	436	1522	3692
SPBC713.08	PomBase:SPBC713.08	mim1	chromosome_2	mitochondrial MIM complex subunit Mim1	Q9C1W7	protein coding gene	tom13	216	NA	1240	97	1240	1553
SPBC713.09	PomBase:SPBC713.09	NA	chromosome_2	Schizosaccharomyces specific protein	Q9C1W6	protein coding gene	NA	1188	44	126	44	126	1358
SPBC713.10	PomBase:SPBC713.10	tim16	chromosome_2	TIM23 translocase complex subunit Tim16	Q9C1W5	protein coding gene	NA	387	123	580	123	580	1090
SPBC713.11c	PomBase:SPBC713.11c	pmp3	chromosome_2	plasma membrane proteolipid Pmp3	Q9C1W4	protein coding gene	NA	174	98	426	98	426	698
SPBC713.12	PomBase:SPBC713.12	erg1	chromosome_2	squalene monooxygenase Erg1	Q9C1W3	protein coding gene	NA	1374	519	309	519	309	2202
SPBC713.14c	PomBase:SPBC713.14c	NA	chromosome_2	dubious	NA	protein coding gene	SPBC713.13	228	NA	NA	97	261	586
SPBC725.01	PomBase:SPBC725.01	maa1	chromosome_2	mitochondrial aspartate aminotransferase Maa1	O94320	protein coding gene	NA	1314	102	1163	102	1163	2579
SPBC725.02	PomBase:SPBC725.02	mpr1	chromosome_2	histidine-containing response regulator phosphotransferase Mpr1	O94321	protein coding gene	spy1	888	705	2129	705	2129	3722
SPBC725.03	PomBase:SPBC725.03	NA	chromosome_2	pyridoxamine 5'-phosphate oxidase	O94322	protein coding gene	NA	774	13	458	13	458	1245
SPBC725.04	PomBase:SPBC725.04	hac1	chromosome_2	2-hydroxyacyl-CoA lyase Hac1	Q9Y7M1	protein coding gene	NA	1707	290	134	290	134	2131
SPBC725.05c	PomBase:SPBC725.05c	npp1	chromosome_2	nucleotide pyrophosphatase Npp1	O94323	protein coding gene	NA	1458	39	104	39	104	1601
SPBC725.06c	PomBase:SPBC725.06c	ppk31	chromosome_2	serine/threonine protein kinase Ppk31	O94324	protein coding gene	mug25	3099	NA	133	97	133	3329
SPBC725.07	PomBase:SPBC725.07	pex5	chromosome_2	peroxisomal targeting signal receptor Pex5	O94325	protein coding gene	NA	1797	302	429	302	429	2528
SPBC725.08	PomBase:SPBC725.08	pir2	chromosome_2	MTREC (exosome adaptor) complex zf-C2H2 type zinc finger subunit Pir2	O94326	protein coding gene	ars2	1830	104	75	104	75	2009
SPBC725.09c	PomBase:SPBC725.09c	hob3	chromosome_2	BAR adaptor protein Hob3	Q9UUM7	protein coding gene	NA	795	9	616	9	616	1420
SPBC725.10	PomBase:SPBC725.10	tps0	chromosome_2	mitochondrial outer membrane protein, TspO/MBR-related, implicated in lipid/sterol transport, tspO	O94327	protein coding gene	SpTSPO	495	145	224	145	224	864
SPBC725.11c	PomBase:SPBC725.11c	php2	chromosome_2	CCAAT-binding factor complex subunit Php2	P24488	protein coding gene	NA	1005	108	967	108	967	2080
SPBC725.12	PomBase:SPBC725.12	nbl1	chromosome_2	Borealin homolog Nbl1	O94328	protein coding gene	mug118	426	101	NA	101	261	788
SPBC725.13c	PomBase:SPBC725.13c	psf2	chromosome_2	GINS complex subunit Psf2	O94329	protein coding gene	dre13,bsh3	552	160	328	160	328	1040
SPBC725.14	PomBase:SPBC725.14	arg6	chromosome_2	acetylglutamate synthase Arg6	O94330	protein coding gene	NA	1503	66	122	66	122	1691
SPBC725.15	PomBase:SPBC725.15	ura5	chromosome_2	orotate phosphoribosyltransferase Ura5	O94331	protein coding gene	NA	648	36	632	36	632	1316
SPBC725.16	PomBase:SPBC725.16	res1	chromosome_2	MBF transcription factor complex subunit Res1	P33520	protein coding gene	sct1	1914	749	212	749	212	2875
SPBC725.17c	PomBase:SPBC725.17c	rrn11	chromosome_2	RNA polymerase I general transcription initiation factor subunit Rrn11	O94332	protein coding gene	NA	603	114	146	114	146	863
SPBC776.01	PomBase:SPBC776.01	rpl29	chromosome_2	60S ribosomal protein L29	Q92366	protein coding gene	NA	186	10	135	10	135	331
SPBC776.02c	PomBase:SPBC776.02c	dis2	chromosome_2	serine/threonine protein phosphatase PP1 catalytic subunit Dis2	P13681	protein coding gene	sds1,bws1	984	NA	554	97	554	1635
SPBC776.03	PomBase:SPBC776.03	hom6	chromosome_2	homoserine dehydrogenase Hom6	O94671	protein coding gene	NA	1131	24	74	24	74	1229
SPBC776.04	PomBase:SPBC776.04	sec2302	chromosome_2	COPII cargo receptor subunit Sec23b	O94672	protein coding gene	sec23-b	2298	60	169	60	169	2527
SPBC776.05	PomBase:SPBC776.05	gpc1	chromosome_2	glycerophosphocholine acyltransferase (GPCAT) Gpc1	O94673	protein coding gene	NA	1212	206	233	206	233	1651
SPBC776.06c	PomBase:SPBC776.06c	NA	chromosome_2	Arf3/6 docking factor	O94674	protein coding gene	NA	1872	571	34	571	34	2477
SPBC776.07	PomBase:SPBC776.07	mam33	chromosome_2	mitochondrial ribosome assembly protein Mam33	O94675	protein coding gene	NA	810	96	108	96	108	1014
SPBC776.08c	PomBase:SPBC776.08c	utp22	chromosome_2	small-subunit processome, UTP-C complex subunit Utp22	O94676	protein coding gene	NA	3294	32	270	32	270	3596
SPBC776.09	PomBase:SPBC776.09	ste13	chromosome_2	ATP-dependent RNA helicase Ste13/Dhh1	Q09181	protein coding gene	dhh1	1458	231	705	231	705	2394
SPBC776.10c	PomBase:SPBC776.10c	cog6	chromosome_2	Golgi transport complex peripheral subunit Cog6	O94677	protein coding gene	NA	2028	124	181	124	181	2333
SPBC776.11	PomBase:SPBC776.11	rpl2801	chromosome_2	60S ribosomal protein L27/L28	P57728	protein coding gene	rpl28-1	447	28	122	28	122	597
SPBC776.12c	PomBase:SPBC776.12c	hsk1	chromosome_2	Dbf4(Dfp1)-dependent protein kinase Hsk1	P50582	protein coding gene	cdc7	1524	226	271	226	271	2021
SPBC776.13	PomBase:SPBC776.13	cnd1	chromosome_2	condensin complex non-SMC subunit Cnd1	O94679	protein coding gene	NA	3477	50	211	50	211	3738
SPBC776.14	PomBase:SPBC776.14	plh1	chromosome_2	phospholipid-diacylglycerol acyltransferase Plh1/Lro1	O94680	protein coding gene	lro1	1899	48	1476	48	1476	3423
SPBC776.15c	PomBase:SPBC776.15c	kgd2	chromosome_2	dihydrolipoamide S-succinyltransferase, e2 component of oxoglutarate dehydrogenase complex Kdg2	O94681	protein coding gene	NA	1359	154	293	154	293	1806
SPBC776.16	PomBase:SPBC776.16	mis20	chromosome_2	centromere protein Mis20/Eic2	O94682	protein coding gene	eic2	762	136	380	136	380	1278
SPBC776.17	PomBase:SPBC776.17	rrp7	chromosome_2	rRNA processing protein Rrp7	O94683	protein coding gene	NA	717	22	157	22	157	896
SPBC776.18c	PomBase:SPBC776.18c	pmh1	chromosome_2	transcription factor TFIIK complex ubiquitin-protein ligase E3 subunit, Pmh1	O94684	protein coding gene	mcr1	957	166	1140	166	1140	2263
SPBC800.02	PomBase:SPBC800.02	whi5	chromosome_2	SBF complex transcription corepressor, Whi5	Q9HGL9	protein coding gene	mug54	759	182	NA	182	261	1202
