"consensus.cluster"	"chr"	"start"	"end"	"strand"	"dominant_ctss"	"tpm"	"tpm.dominant_ctss"	"q_0.1"	"q_0.9"	"interquantile_width"
27272	"chrXII"	271038	271082	"+"	271054	3.79033226025712	2.47312459534507	271054	271063	10
27273	"chrXII"	271103	271251	"+"	271219	8.17206388027066	2.71506069706361	271138	271219	82
27276	"chrXII"	274080	274164	"+"	274104	0.672044726995943	0.456990414357241	274099	274104	6
27277	"chrXII"	274638	274678	"+"	274666	1.39785303215156	0.994626195953995	274639	274666	28
27279	"chrXII"	278823	278912	"+"	278842	15.7258466117051	4.7043130889716	278833	278877	45
27286	"chrXII"	281171	281188	"+"	281188	0.806453672395131	0.618281148836267	281175	281188	14
27289	"chrXII"	282593	282645	"+"	282618	5.40323960504738	4.30108625277403	282618	282619	2
27291	"chrXII"	282828	283390	"+"	282906	2338.58124100048	1162.82555022654	282896	282911	16
27292	"chrXII"	283439	283458	"+"	283441	1.98925239190799	1.4247348212314	283440	283441	2
27293	"chrXII"	283720	284308	"+"	283845	21.7742491546685	4.38173162001355	283796	283893	98
27303	"chrXII"	286722	287152	"+"	286780	46.8549583661571	13.4408945399189	286768	286780	13
27304	"chrXII"	287220	287584	"+"	287462	5.80646644124494	1.45161661031124	287352	287491	140
27306	"chrXII"	287863	288062	"+"	287966	34.946325803789	8.76346324002709	287963	287985	23
27307	"chrXII"	288182	288436	"+"	288312	3.25269647866036	1.90860702466848	288183	288314	132
27308	"chrXII"	288716	288823	"+"	288761	0.537635781596754	0.403226836197566	288717	288761	45
27309	"chrXII"	288887	288906	"+"	288899	0.215054312638702	0.107527156319351	288893	288899	7
27311	"chrXII"	289933	290273	"+"	290160	8.76346324002709	3.09140574418134	290033	290171	139
27316	"chrXII"	291144	291659	"+"	291564	0.215054312638702	0.107527156319351	291560	291594	35
27321	"chrXII"	296156	296160	"+"	296160	0.34946325803789	0.241936101718539	296157	296160	4
27322	"chrXII"	296457	296478	"+"	296469	0.537635781596754	0.134408945399189	296458	296478	21
27324	"chrXII"	302152	302228	"+"	302189	5.9139935975643	2.95699679878215	302185	302202	18
27325	"chrXII"	302259	302463	"+"	302449	0.34946325803789	0.215054312638702	302449	302450	2
27328	"chrXII"	303042	303208	"+"	303082	1.15591693043302	0.34946325803789	303062	303112	51
27331	"chrXII"	304322	304330	"+"	304330	0.268817890798377	0.161290734479026	304323	304330	8
27333	"chrXII"	304597	304891	"+"	304851	0.967744406874157	0.241936101718539	304646	304869	224
27336	"chrXII"	305200	305377	"+"	305263	0.779571883315293	0.241936101718539	305219	305307	89
27340	"chrXII"	306218	306249	"+"	306219	0.456990414357241	0.215054312638702	306219	306222	4
27344	"chrXII"	316027	316161	"+"	316075	65.0808113622871	42.231290644425	316064	316086	23
27347	"chrXII"	320110	320212	"+"	320111	0.215054312638702	0.161290734479026	320111	320212	102
27348	"chrXII"	320395	320978	"+"	320649	37.5269775554534	4.27420446369419	320561	320760	200
27349	"chrXII"	321012	321100	"+"	321071	1.29032587583221	0.403226836197566	321046	321071	26
27350	"chrXII"	321124	321346	"+"	321167	0.241936101718539	0.241936101718539	321167	321344	178
27352	"chrXII"	321562	321707	"+"	321598	0.268817890798377	0.134408945399189	321589	321598	10
27353	"chrXII"	322205	322344	"+"	322276	4.30108625277403	1.10215335227335	322227	322302	76
27355	"chrXII"	322992	323066	"+"	323059	0.241936101718539	0.241936101718539	323007	323059	53
27357	"chrXII"	323321	323368	"+"	323361	2.0698977591475	1.93548881374831	323361	323361	1
27358	"chrXII"	323483	323550	"+"	323527	5.43012139412722	1.45161661031124	323511	323527	17
27362	"chrXII"	325283	325338	"+"	325302	0.69892651607578	0.215054312638702	325302	325328	27
27363	"chrXII"	325391	325519	"+"	325392	0.268817890798377	0.161290734479026	325392	325505	114
27365	"chrXII"	325734	326082	"+"	325909	2.39247922810556	0.752690094235456	325827	325930	104
27368	"chrXII"	327693	327703	"+"	327699	0.322581468958052	0.161290734479026	327699	327703	5
27370	"chrXII"	329670	329755	"+"	329687	10.4032523738972	3.11828753326117	329683	329712	30
27371	"chrXII"	332352	332493	"+"	332394	33.6828817170366	8.97851755266579	332383	332404	22
27384	"chrXII"	335525	335554	"+"	335532	0.456990414357241	0.241936101718539	335532	335549	18
27385	"chrXII"	335625	335665	"+"	335660	1.23656229767253	0.672044726995943	335640	335661	22
27389	"chrXII"	339134	339154	"+"	339154	0.483872203437079	0.268817890798377	339135	339154	20
27390	"chrXII"	339646	339761	"+"	339652	3.11828753326117	2.74194248614345	339652	339669	18
27393	"chrXII"	341109	341157	"+"	341139	0.241936101718539	0.134408945399189	341110	341157	48
27394	"chrXII"	341206	341470	"+"	341291	80.4571947159543	19.8118785518404	341283	341325	43
27395	"chrXII"	341523	341558	"+"	341546	0.241936101718539	0.134408945399189	341546	341558	13
27396	"chrXII"	341609	341625	"+"	341610	1.82796165742896	1.12903514135318	341610	341614	5
27397	"chrXII"	341677	341908	"+"	341786	195.349961243181	47.4194759368337	341783	341807	25
27399	"chrXII"	342156	342327	"+"	342321	1.8548434465088	0.672044726995943	342245	342327	83
27400	"chrXII"	342419	342509	"+"	342430	0.376345047117728	0.403226836197566	342430	342508	79
27401	"chrXII"	342589	342643	"+"	342599	1.18279871951286	0.752690094235456	342599	342643	45
27403	"chrXII"	343470	343715	"+"	343516	0.537635781596754	0.241936101718539	343516	343540	25
27405	"chrXII"	346160	346223	"+"	346214	0.994626195953995	0.295699679878215	346161	346223	63
27406	"chrXII"	346516	346603	"+"	346545	52.9033609091206	15.6989648226252	346541	346570	30
27407	"chrXII"	346638	346682	"+"	346649	0.591399359756429	0.241936101718539	346649	346651	3
27410	"chrXII"	364054	364200	"+"	364116	14.1398210559946	4.65054951081192	364089	364116	28
27412	"chrXII"	364388	364591	"+"	364527	22.6075846161435	4.65054951081192	364515	364551	37
27416	"chrXII"	366234	366315	"+"	366236	0.268817890798377	0.161290734479026	366235	366293	59
27418	"chrXII"	368441	368520	"+"	368484	2.63441532982409	0.779571883315293	368442	368516	75
27421	"chrXII"	368562	369214	"+"	368744	2185.91956081608	1550.7297666486	368739	368744	6
27425	"chrXII"	370721	370833	"+"	370748	5.96775717572397	2.74194248614345	370728	370764	37
27426	"chrXII"	370966	371177	"+"	371156	17.4462811128147	4.30108625277403	371009	371169	161
27427	"chrXII"	371197	371396	"+"	371278	92.6615269582006	24.1936101718539	371252	371286	35
27428	"chrXII"	371421	371782	"+"	371482	146.451986906956	31.0484663872125	371469	371594	126
27430	"chrXII"	371913	372340	"+"	372088	15.080683673789	3.54839615853858	372012	372134	123
27434	"chrXII"	373350	373498	"+"	373391	4.24732267461436	1.04838977411367	373382	373445	64
27438	"chrXII"	374541	374562	"+"	374559	0.215054312638702	0.107527156319351	374550	374559	10
27441	"chrXII"	377928	378082	"+"	377968	16.1021916588228	3.89785941657647	377954	377983	30
27446	"chrXII"	378962	379107	"+"	379022	0.322581468958052	0.161290734479026	379022	379094	73
27450	"chrXII"	379445	379470	"+"	379446	0.376345047117728	0.188172523558864	379446	379448	3
27456	"chrXII"	380796	381003	"+"	380855	15.4301469318268	4.7043130889716	380818	380869	52
27467	"chrXII"	385514	385946	"+"	385582	34.8925622256293	10.8333609991746	385557	385729	173
27468	"chrXII"	387830	387925	"+"	387845	0.806453672395131	0.322581468958052	387845	387865	21
27470	"chrXII"	388476	388590	"+"	388580	3.41398721313939	0.537635781596754	388478	388580	103
27471	"chrXII"	388703	388801	"+"	388772	8.6290542946279	1.96237060282815	388759	388790	32
27472	"chrXII"	388864	388998	"+"	388913	3.0645239551015	0.887099039634644	388913	388933	21
27473	"chrXII"	389087	389436	"+"	389155	2.82258785338296	0.430108625277403	389119	389324	206
27474	"chrXII"	389536	389602	"+"	389587	0.295699679878215	0.161290734479026	389584	389587	4
27477	"chrXII"	389979	389982	"+"	389980	0.322581468958052	0.161290734479026	389980	389982	3
27479	"chrXII"	390559	390614	"+"	390607	1.02150798503383	0.295699679878215	390560	390607	48
27480	"chrXII"	390699	390714	"+"	390713	0.322581468958052	0.215054312638702	390710	390713	4
27481	"chrXII"	390867	390965	"+"	390899	8.73658145094725	2.60753354074426	390880	390960	81
27482	"chrXII"	391026	391080	"+"	391060	0.295699679878215	0.161290734479026	391047	391060	14
27484	"chrXII"	391786	391928	"+"	391847	14.1935846341543	6.129047910203	391847	391877	31
27487	"chrXII"	393415	393657	"+"	393480	2.17742491546685	0.537635781596754	393467	393574	108
27488	"chrXII"	395794	395886	"+"	395816	4.32796804185387	1.55914376663059	395809	395874	66
27489	"chrXII"	395938	395950	"+"	395939	0.537635781596754	0.403226836197566	395939	395950	12
27490	"chrXII"	398428	398538	"+"	398505	17.4193993237348	12.3118593985657	398482	398505	24
27491	"chrXII"	398563	398731	"+"	398573	0.537635781596754	0.295699679878215	398573	398656	84
27496	"chrXII"	399581	399673	"+"	399633	48.3065749764684	13.7365942197971	399605	399642	38
27498	"chrXII"	399811	400300	"+"	400283	1.15591693043302	0.430108625277403	399829	400283	455
27502	"chrXII"	401457	401459	"+"	401459	0.537635781596754	0.403226836197566	401458	401459	2
27503	"chrXII"	401625	401725	"+"	401665	3.01076037694182	2.17742491546685	401647	401665	19
27504	"chrXII"	401839	401848	"+"	401846	0.34946325803789	0.188172523558864	401840	401846	7
27510	"chrXII"	407332	407350	"+"	407350	0.483872203437079	0.268817890798377	407341	407350	10
27514	"chrXII"	408333	408530	"+"	408415	18.6559616214074	2.8494696424628	408366	408423	58
27515	"chrXII"	408583	408809	"+"	408639	0.806453672395131	0.69892651607578	408639	408648	10
27518	"chrXII"	409370	409392	"+"	409372	0.376345047117728	0.215054312638702	409371	409372	2
27521	"chrXII"	410675	410740	"+"	410680	3.68280510393777	1.80107986834913	410680	410719	40
27522	"chrXII"	410860	410921	"+"	410894	0.483872203437079	0.161290734479026	410861	410897	37
27525	"chrXII"	413167	413300	"+"	413256	18.0645622616509	3.52151436945874	413209	413256	48
27526	"chrXII"	413329	413771	"+"	413757	0.537635781596754	0.322581468958052	413367	413757	391
27534	"chrXII"	415746	415784	"+"	415759	0.645162937916105	0.34946325803789	415759	415773	15
27536	"chrXII"	416783	416805	"+"	416793	0.591399359756429	0.483872203437079	416793	416804	12
27537	"chrXII"	416942	417270	"+"	416999	17.715099003613	4.89248561253046	416979	417194	216
27542	"chrXII"	418222	418480	"+"	418274	62.9033864468202	25.1344727896483	418274	418342	69
27543	"chrXII"	418535	418633	"+"	418613	0.537635781596754	0.295699679878215	418540	418614	75
27548	"chrXII"	419513	419590	"+"	419516	1.23656229767253	0.456990414357241	419514	419590	77
27549	"chrXII"	419646	419678	"+"	419670	0.860217250554806	0.34946325803789	419647	419678	32
27550	"chrXII"	419812	419866	"+"	419838	1.53226197755075	0.887099039634644	419815	419838	24
27551	"chrXII"	419915	420535	"+"	420019	41.1829008703114	4.30108625277403	419954	420310	357
27552	"chrXII"	420706	420723	"+"	420709	3.84409583841679	2.50000638442491	420708	420714	7
27554	"chrXII"	420844	420847	"+"	420847	0.430108625277403	0.322581468958052	420845	420847	3
27556	"chrXII"	421039	421138	"+"	421082	1.18279871951286	0.241936101718539	421041	421136	96
27558	"chrXII"	423578	423702	"+"	423669	11.6935782497294	3.25269647866036	423622	423685	64
27561	"chrXII"	424527	424719	"+"	424688	7.47313736419488	1.47849839939107	424533	424703	171
27565	"chrXII"	425129	425468	"+"	425153	10.4838977411367	3.33334184589987	425150	425166	17
27566	"chrXII"	425526	425597	"+"	425552	0.403226836197566	0.161290734479026	425549	425558	10
27571	"chrXII"	426142	426278	"+"	426146	0.215054312638702	0.134408945399189	426146	426278	133
27574	"chrXII"	427272	427360	"+"	427287	2.44624280626523	0.887099039634644	427287	427318	32
27575	"chrXII"	427401	427422	"+"	427421	1.39785303215156	0.967744406874157	427419	427421	3
27580	"chrXII"	431389	431617	"+"	431438	1.93548881374831	0.456990414357241	431411	431501	91
27581	"chrXII"	431729	431831	"+"	431816	0.752690094235456	0.483872203437079	431799	431831	33
27583	"chrXII"	432098	432531	"+"	432159	29.5968497769013	16.3172459714615	432155	432211	57
27585	"chrXII"	433799	433913	"+"	433870	185.618753596279	52.7151883855617	433844	433879	36
27588	"chrXII"	434554	434695	"+"	434611	33.6828817170366	8.68281787278758	434580	434632	53
27592	"chrXII"	437284	437323	"+"	437302	7.74195525499326	5.72582107400543	437299	437302	4
27593	"chrXII"	440203	440244	"+"	440231	2.15054312638702	1.77419807926929	440227	440231	5
27595	"chrXII"	440264	441212	"+"	440419	1571.61691676363	294.436235791462	440404	440656	253
27601	"chrXII"	445112	445215	"+"	445205	0.403226836197566	0.295699679878215	445121	445215	95
27605	"chrXII"	449714	449757	"+"	449738	4.78495845621111	1.88172523558864	449738	449747	10
27607	"chrXII"	459925	459957	"+"	459926	1.29032587583221	0.295699679878215	459926	459952	27
27608	"chrXII"	460026	460029	"+"	460027	1.29032587583221	0.967744406874157	460027	460028	2
27610	"chrXII"	460312	460344	"+"	460330	3.0645239551015	2.31183386086604	460322	460330	9
27611	"chrXII"	460464	460554	"+"	460521	3.57527794761841	0.994626195953995	460472	460540	69
27613	"chrXII"	490828	491137	"+"	490885	44.5700062943709	18.2527347852098	490883	490935	53
27615	"chrXII"	493521	493926	"+"	493859	24.677482375291	8.73658145094725	493554	493859	306
27618	"chrXII"	495092	495173	"+"	495100	0.268817890798377	0.241936101718539	495100	495144	45
27619	"chrXII"	497822	497866	"+"	497865	0.322581468958052	0.188172523558864	497846	497865	20
27620	"chrXII"	498187	498261	"+"	498193	1.26344408675237	0.322581468958052	498193	498261	69
27623	"chrXII"	498777	499109	"+"	498890	7096.89984423347	3413.79904061583	498890	498916	27
27624	"chrXII"	499154	499197	"+"	499176	3.11828753326117	1.37097124307172	499174	499197	24
27625	"chrXII"	500588	500785	"+"	500606	3.01076037694182	0.752690094235456	500589	500765	177
27627	"chrXII"	501271	501341	"+"	501302	2.25807028270637	0.456990414357241	501282	501302	21
27632	"chrXII"	502307	502480	"+"	502340	16.1828370260623	7.04302873891748	502340	502402	63
27633	"chrXII"	502635	502745	"+"	502646	0.241936101718539	0.134408945399189	502636	502646	11
27638	"chrXII"	504319	504730	"+"	504531	8.4139999819892	1.80107986834913	504372	504550	179
27646	"chrXII"	506006	506286	"+"	506116	271.801769386239	54.5969136211504	506085	506124	40
27648	"chrXII"	506536	507000	"+"	506981	5.43012139412722	1.10215335227335	506628	506981	354
27650	"chrXII"	507060	507407	"+"	507185	74.2475014385117	14.3548753686333	507140	507252	113
27655	"chrXII"	510343	510412	"+"	510352	5.5645303395264	1.29032587583221	510350	510369	20
27657	"chrXII"	510581	510596	"+"	510588	0.322581468958052	0.188172523558864	510582	510588	7
27659	"chrXII"	510983	511465	"+"	511005	316.076076000732	91.7206643404062	511005	511028	24
27661	"chrXII"	511940	512033	"+"	511945	0.34946325803789	0.215054312638702	511945	511946	2
27662	"chrXII"	512181	512261	"+"	512204	1.47849839939107	0.887099039634644	512202	512222	21
27665	"chrXII"	514013	514105	"+"	514091	2.66129711890393	1.47849839939107	514091	514101	11
27667	"chrXII"	514469	514603	"+"	514585	0.994626195953995	0.483872203437079	514577	514603	27
27668	"chrXII"	515125	515269	"+"	515206	226.183373317754	152.742325551638	515195	515206	12
27669	"chrXII"	515297	515449	"+"	515365	1.96237060282815	0.403226836197566	515353	515429	77
27670	"chrXII"	515496	515534	"+"	515515	0.860217250554806	0.456990414357241	515515	515534	20
27671	"chrXII"	515581	515872	"+"	515668	5.94087538664413	2.8494696424628	515599	515747	149
27672	"chrXII"	515924	516253	"+"	516106	4.22044088553452	0.69892651607578	515993	516198	206
27673	"chrXII"	516295	516316	"+"	516316	0.564517570676592	0.322581468958052	516310	516316	7
27676	"chrXII"	517845	518021	"+"	517910	20.3495143334371	5.26883065964819	517886	517916	31
27682	"chrXII"	519381	519578	"+"	519564	1.66667092294994	0.833335461474969	519505	519564	60
27685	"chrXII"	519968	520044	"+"	519971	0.860217250554806	0.510753992516916	519971	519997	27
27686	"chrXII"	522426	522471	"+"	522452	0.645162937916105	0.268817890798377	522447	522462	16
27687	"chrXII"	522555	522699	"+"	522642	2038.0428390879	1513.98236097646	522642	522644	3
27688	"chrXII"	523030	523091	"+"	523032	1.15591693043302	0.376345047117728	523032	523090	59
27689	"chrXII"	523543	523817	"+"	523575	51.9893800804061	7.87636420039245	523566	523604	39
27690	"chrXII"	524572	524746	"+"	524643	17.9301533162518	7.47313736419488	524634	524668	35
27691	"chrXII"	524769	524897	"+"	524847	1.77419807926929	0.618281148836267	524832	524855	24
27703	"chrXII"	527544	527730	"+"	527654	0.430108625277403	0.483872203437079	527559	527654	96
27704	"chrXII"	528205	528346	"+"	528217	34.0861085532342	9.59679870150206	528217	528241	25
27709	"chrXII"	534709	534902	"+"	534836	71.2367410615699	22.7151117724629	534730	534876	147
27711	"chrXII"	535149	535297	"+"	535237	0.860217250554806	0.618281148836267	535225	535264	40
27715	"chrXII"	537191	537271	"+"	537241	6.45162937916105	2.8494696424628	537223	537259	37
27719	"chrXII"	537908	537925	"+"	537923	0.322581468958052	0.215054312638702	537921	537923	3
27723	"chrXII"	540741	540824	"+"	540780	7.50001915327472	3.46775079129906	540770	540786	17
27725	"chrXII"	541289	541294	"+"	541293	0.241936101718539	0.134408945399189	541291	541293	3
27726	"chrXII"	542081	542156	"+"	542082	1.8548434465088	0.34946325803789	542082	542136	55
27727	"chrXII"	542221	542243	"+"	542237	0.806453672395131	0.69892651607578	542223	542237	15
27728	"chrXII"	543479	543546	"+"	543480	0.887099039634644	0.430108625277403	543480	543530	51
27729	"chrXII"	543847	544147	"+"	543894	158.064919789446	60.0270350152776	543890	543938	49
27730	"chrXII"	544229	544321	"+"	544276	2.23118849362653	0.833335461474969	544249	544312	64
27734	"chrXII"	545016	545074	"+"	545019	0.456990414357241	0.322581468958052	545017	545019	3
27735	"chrXII"	545429	545572	"+"	545481	5.10753992516916	2.50000638442491	545436	545485	50
27736	"chrXII"	545994	546124	"+"	546061	516.990567583439	137.231533252571	546046	546075	30
27738	"chrXII"	546269	546585	"+"	546503	2.60753354074426	0.69892651607578	546311	546519	209
27739	"chrXII"	546651	546876	"+"	546876	2.47312459534507	0.833335461474969	546690	546876	187
27740	"chrXII"	546946	547515	"+"	547215	65.591565354804	11.7742236169689	547215	547442	228
27743	"chrXII"	548895	549217	"+"	548994	104.35510520793	24.354900906333	548968	548999	32
27745	"chrXII"	550066	550132	"+"	550126	0.618281148836267	0.510753992516916	550080	550126	47
27749	"chrXII"	552187	552342	"+"	552240	118.441162685765	82.82279215498	552240	552256	17
27750	"chrXII"	552369	552443	"+"	552403	3.7096868930176	1.6397891338701	552403	552432	30
27753	"chrXII"	553917	554087	"+"	554051	2.87635143154263	0.725808305155618	553999	554051	53
27756	"chrXII"	554360	555785	"+"	554438	82.3389199515429	30.1882491366577	554437	555004	568
27757	"chrXII"	555864	556281	"+"	556119	14.3279935795535	4.78495845621111	555960	556175	216
27759	"chrXII"	556677	556908	"+"	556779	28.6291053700272	8.76346324002709	556724	556779	56
27760	"chrXII"	556950	556999	"+"	556999	0.376345047117728	0.215054312638702	556998	556999	2
27763	"chrXII"	558691	558727	"+"	558711	0.215054312638702	0.107527156319351	558711	558716	6
27765	"chrXII"	559395	559575	"+"	559459	60.8603704767526	6.90861979351829	559435	559516	82
27767	"chrXII"	559723	559736	"+"	559724	1.10215335227335	1.10215335227335	559724	559724	1
27768	"chrXII"	559779	560013	"+"	559991	2.04301597006767	0.430108625277403	559781	559993	213
27769	"chrXII"	560074	560086	"+"	560080	0.564517570676592	0.376345047117728	560079	560080	2
27770	"chrXII"	560155	560187	"+"	560169	0.376345047117728	0.161290734479026	560162	560186	25
27771	"chrXII"	560316	560345	"+"	560330	0.295699679878215	0.161290734479026	560330	560331	2
27773	"chrXII"	561905	562029	"+"	561950	15.6720830335454	3.46775079129906	561943	561981	39
27776	"chrXII"	566543	566605	"+"	566553	0.403226836197566	0.215054312638702	566553	566567	15
27778	"chrXII"	568366	568583	"+"	568518	110.887379954331	20.0806964426388	568470	568543	74
27781	"chrXII"	569198	569218	"+"	569214	0.376345047117728	0.215054312638702	569208	569214	7
27783	"chrXII"	570179	570189	"+"	570180	0.994626195953995	0.376345047117728	570180	570189	10
27784	"chrXII"	570302	570328	"+"	570317	0.672044726995943	0.456990414357241	570309	570317	9
27787	"chrXII"	571772	571785	"+"	571773	0.268817890798377	0.134408945399189	571773	571785	13
27788	"chrXII"	573332	573680	"+"	573515	1.4247348212314	0.322581468958052	573406	573515	110
27790	"chrXII"	573922	574718	"+"	573978	10.5645431083762	5.99463896480381	573956	574385	430
27795	"chrXII"	576036	576066	"+"	576049	1.04838977411367	0.59139935975643	576038	576049	12
27796	"chrXII"	576658	576939	"+"	576672	31.1828753326117	6.29033864468202	576672	576739	68
27797	"chrXII"	576998	577388	"+"	577265	1.53226197755075	1.04838977411367	577228	577285	58
27799	"chrXII"	577548	577613	"+"	577565	1.07527156319351	0.913980828714482	577549	577606	58
27803	"chrXII"	586122	586214	"+"	586174	9.46238975610287	2.95699679878215	586131	586189	59
27804	"chrXII"	586265	586525	"+"	586321	41.5054823392694	11.7204600388092	586313	586369	57
27811	"chrXII"	589270	589512	"+"	589318	24.1129648046144	16.3710095496212	589305	589318	14
27817	"chrXII"	591330	591389	"+"	591345	6.02152075388365	2.68817890798377	591339	591381	43
27818	"chrXII"	592929	592944	"+"	592944	2.82258785338296	2.33871564994588	592934	592944	11
27819	"chrXII"	595683	595757	"+"	595728	3.01076037694182	0.913980828714482	595728	595757	30
27821	"chrXII"	597019	597125	"+"	597042	16.5860638622599	4.40861340909338	597039	597101	63
27826	"chrXII"	603774	603966	"+"	603908	14.0322938996753	2.87635143154263	603824	603910	87
27829	"chrXII"	607347	607464	"+"	607368	0.430108625277403	0.241936101718539	607348	607431	84
27831	"chrXII"	609711	609794	"+"	609743	3.30646005682004	1.18279871951286	609719	609754	36
27836	"chrXII"	612227	612410	"+"	612232	8.54840892738839	2.47312459534507	612232	612319	88
27837	"chrXII"	612477	612575	"+"	612524	0.376345047117728	0.215054312638702	612522	612524	3
27839	"chrXII"	612982	613119	"+"	613003	1.55914376663059	0.564517570676592	613003	613039	37
27846	"chrXII"	614653	614807	"+"	614682	12.0161597186875	1.93548881374831	614665	614714	50
27853	"chrXII"	615729	615845	"+"	615788	0.967744406874157	0.430108625277403	615731	615788	58
27855	"chrXII"	617443	617559	"+"	617500	19.5968242392017	6.50539295732072	617491	617529	39
27861	"chrXII"	618302	618305	"+"	618305	0.295699679878215	0.161290734479026	618303	618305	3
27866	"chrXII"	620353	620497	"+"	620418	33.4947091934778	6.45162937916105	620411	620435	25
27870	"chrXII"	620901	621191	"+"	620965	0.564517570676592	0.268817890798377	620959	621121	163
27877	"chrXII"	622608	622610	"+"	622609	0.215054312638702	0.107527156319351	622609	622610	2
27879	"chrXII"	624094	624248	"+"	624125	12.3656229767253	2.04301597006767	624121	624170	50
27883	"chrXII"	626497	626583	"+"	626518	0.430108625277403	0.322581468958052	626518	626575	58
27885	"chrXII"	627069	627253	"+"	627117	16.9355271202978	7.15055589523683	627111	627126	16
27892	"chrXII"	633546	634367	"+"	633674	119.731488561597	23.8710287028959	633662	634203	542
27900	"chrXII"	635553	635636	"+"	635585	0.34946325803789	0.241936101718539	635558	635617	60
27901	"chrXII"	635705	635756	"+"	635715	0.483872203437079	0.376345047117728	635714	635756	43
27908	"chrXII"	636668	639748	"+"	636740	4220.38712195636	1610.27292946044	636740	636744	5
27909	"chrXII"	639783	639802	"+"	639802	0.268817890798377	0.161290734479026	639784	639802	19
27910	"chrXII"	640111	640131	"+"	640127	1.2096805085927	1.10215335227335	640127	640127	1
27911	"chrXII"	640227	640487	"+"	640273	80.9679487084712	29.7043769332207	640246	640297	52
27912	"chrXII"	640514	640774	"+"	640587	2.36559743902572	1.50538018847091	640563	640763	201
27915	"chrXII"	641291	641466	"+"	641367	87.4195780876322	25.8871628838837	641338	641382	45
27917	"chrXII"	641598	641640	"+"	641630	1.50538018847091	0.59139935975643	641600	641630	31
27919	"chrXII"	642502	642598	"+"	642554	22.9839296632612	8.44088177106904	642540	642570	31
27920	"chrXII"	642624	642677	"+"	642629	0.618281148836267	0.456990414357241	642629	642663	35
27929	"chrXII"	645270	645367	"+"	645324	2.50000638442491	0.430108625277403	645304	645336	33
27931	"chrXII"	645804	645854	"+"	645813	2.41936101718539	2.20430670454669	645813	645813	1
27933	"chrXII"	646106	646835	"+"	646128	58.5754184049664	19.0054248794453	646118	646167	50
27935	"chrXII"	647396	647706	"+"	647613	1.69355271202978	0.430108625277403	647433	647697	265
27936	"chrXII"	647813	647871	"+"	647851	0.591399359756429	0.241936101718539	647834	647853	20
27938	"chrXII"	648214	648269	"+"	648269	0.241936101718539	0.134408945399189	648267	648269	3
27945	"chrXII"	650078	650102	"+"	650100	1.4247348212314	0.618281148836267	650096	650102	7
27948	"chrXII"	650332	650349	"+"	650334	1.02150798503383	0.913980828714482	650333	650334	2
27949	"chrXII"	651069	651148	"+"	651103	0.860217250554806	0.34946325803789	651089	651146	58
27950	"chrXII"	652492	652536	"+"	652509	2.04301597006767	0.645162937916105	652506	652532	27
27952	"chrXII"	657109	657143	"+"	657119	0.322581468958052	0.188172523558864	657119	657128	10
27953	"chrXII"	657224	657364	"+"	657328	5.24194887056835	2.31183386086604	657253	657328	76
27955	"chrXII"	658189	658264	"+"	658236	0.537635781596754	0.215054312638702	658190	658264	75
27957	"chrXII"	658448	658969	"+"	658672	567.044458850097	88.3604407054265	658607	658684	78
27958	"chrXII"	658990	659606	"+"	659410	74.6776100637891	20.1882235989581	659058	659436	379
27964	"chrXII"	660546	660853	"+"	660649	305.887877939473	124.462683439649	660642	660678	37
27965	"chrXII"	660883	661023	"+"	660976	5.40323960504738	2.33871564994588	660938	660995	58
27966	"chrXII"	661034	661096	"+"	661077	0.672044726995943	0.161290734479026	661051	661077	27
27967	"chrXII"	661157	661330	"+"	661312	0.59139935975643	0.188172523558864	661234	661312	79
27968	"chrXII"	661350	661457	"+"	661427	1.2096805085927	0.483872203437079	661382	661427	46
27969	"chrXII"	661508	661776	"+"	661773	0.94086261779432	0.376345047117728	661511	661775	265
27970	"chrXII"	661811	662060	"+"	661845	3.46775079129906	2.0698977591475	661845	662024	180
27971	"chrXII"	662162	662598	"+"	662281	7.87636420039245	2.39247922810556	662251	662524	274
27972	"chrXII"	662624	662637	"+"	662637	0.967744406874157	0.725808305155618	662635	662637	3
27973	"chrXII"	662726	662812	"+"	662745	0.860217250554806	0.241936101718539	662727	662781	55
27976	"chrXII"	665304	665457	"+"	665335	2.25807028270637	0.59139935975643	665316	665400	85
27978	"chrXII"	665621	665947	"+"	665747	21.3172587403113	7.87636420039245	665718	665769	52
27981	"chrXII"	669145	669238	"+"	669203	2.98387858786199	1.18279871951286	669146	669203	58
27982	"chrXII"	669273	669284	"+"	669278	0.34946325803789	0.241936101718539	669274	669278	5
27985	"chrXII"	669822	669880	"+"	669851	4.54302235449257	2.60753354074426	669837	669866	30
27993	"chrXII"	673057	673268	"+"	673108	294.382472213303	91.8550732858054	673105	673124	20
27995	"chrXII"	673495	673558	"+"	673525	0.752690094235456	0.403226836197566	673524	673525	2
27997	"chrXII"	677902	677966	"+"	677940	1.07527156319351	0.376345047117728	677903	677966	64
27998	"chrXII"	678099	678291	"+"	678144	121.021814437429	44.1667794581734	678144	678196	53
28007	"chrXII"	679649	679651	"+"	679651	0.34946325803789	0.188172523558864	679650	679651	2
28009	"chrXII"	680092	680398	"+"	680161	75.2958912126254	37.1775142974155	680128	680161	34
28013	"chrXII"	681035	681371	"+"	681077	123.871284079892	24.2742555390934	681077	681123	47
